run_idx,ts,scenario,status,min_ttc,max_jerk,max_yaw,max_lat_accel,brake_delay,recovery,lane_dev,overshoot,rtf,slowmo,latency_med,latency_p95,collisions,completed,n_metric_frames,n_events,duration_s,jsonl
27,2026-06-29T22:06:08,C1,ok,1.204900438744516,49.96578947368621,1.9656,11.9445,13.730999999999995,,1.737,0.3000000000000007,0.9992,0,2.793,10.317,0,1,10364,16,418.1,run0027_C1_20260629_215907.jsonl
28,2026-06-29T22:09:01,C2,ok,1.0854445462878093,49.70789473682783,0.47962,10.1477,4.268999999999998,0.5380000000000003,0.779,90.57,1.0,0,2.168,10.665,0,0,3873,3,164.0,run0028_C2_20260629_220614.jsonl
29,2026-06-29T22:16:04,C1,ok,1.204900438744516,49.96578947368621,1.9656,11.9445,13.72999999999999,,1.744,0.3000000000000007,0.9995,0,2.694,3.363,0,1,10246,16,414.1,run0029_C1_20260629_220906.jsonl
30,2026-06-29T22:18:55,C2,ok,2.0714207275223058,49.802564102562215,0.56971,11.9145,3.764000000000003,0.03300000000000125,1.006,63.68000000000001,0.9999,0,2.166,2.536,0,0,3870,3,162.0,run0030_C2_20260629_221610.jsonl
31,2026-06-29T22:26:02,C1,ok,1.204900438744516,49.83947368419621,1.9656,11.9445,13.769000000000005,,1.737,0.3000000000000007,1.0,0,2.76,5.53,0,1,10351,16,418.1,run0031_C1_20260629_221900.jsonl
32,2026-06-29T22:28:52,C2,ok,1.8100348432055748,49.96410256410067,0.48463,10.7355,3.9909999999999997,0.26000000000000156,0.814,63.64,1.0001,0,2.13,2.549,0,0,3870,3,162.0,run0032_C2_20260629_222607.jsonl
33,2026-06-29T22:35:59,C1,ok,1.204900438744516,49.907692307635855,1.9656,11.9445,13.730999999999995,,1.737,0.3000000000000007,0.9994,0,2.751,4.641,0,1,10386,16,418.1,run0033_C1_20260629_222858.jsonl
34,2026-06-29T22:37:17,C2,exit_1,,,,,,,,,,,,,,0,,,70.0,run0034_C2_20260629_223605.jsonl
35,2026-06-29T22:44:20,C1,ok,1.204900438744516,49.56666666666479,1.9656,11.9445,13.730999999999995,,1.744,0.3000000000000007,1.0,0,2.729,3.906,0,1,10216,16,414.1,run0035_C1_20260629_223722.jsonl
36,2026-06-29T22:47:11,C2,ok,1.9809836065573772,49.99487179486991,0.48031,11.5919,3.6920000000000037,0.0,0.819,63.650000000000006,0.9997,0,2.182,13.965,0,0,3852,3,162.0,run0036_C2_20260629_224426.jsonl
37,2026-06-29T22:54:17,C1,ok,1.204900438744516,49.9076923077086,1.9656,11.9445,13.731000000000023,,1.737,0.3000000000000007,1.0,0,2.729,3.722,0,1,10368,16,418.1,run0037_C1_20260629_224716.jsonl
38,2026-06-29T22:57:08,C2,ok,1.5790304026294166,49.65000000000434,0.56533,9.0257,4.016000000000002,0.28500000000000014,1.197,62.34,0.9999,0,2.171,16.964,0,0,3790,3,162.0,run0038_C2_20260629_225423.jsonl
39,2026-06-29T23:04:25,C1,ok,1.204900438744516,49.96578947368387,1.9656,11.9445,13.730999999999995,,1.744,0.21999999999999886,0.9676,0,2.739,9.205,0,1,10201,16,428.1,run0039_C1_20260629_225714.jsonl
40,2026-06-29T23:07:16,C2,ok,1.5345496009122008,49.70789473684642,0.48236,11.4616,3.822999999999997,0.09199999999999875,0.825,90.57,1.0,0,2.176,2.513,0,0,3872,3,162.0,run0040_C2_20260629_230431.jsonl
41,2026-06-29T23:14:16,C1,ok,1.204900438744516,49.88684210526748,1.9656,11.9445,13.731000000000023,,1.744,0.3000000000000007,0.9999,0,2.761,11.622,0,1,10008,16,412.1,run0041_C1_20260629_230721.jsonl
42,2026-06-29T23:15:28,C2,exit_1,,,,,,,,,,,,,,0,,,64.0,run0042_C2_20260629_231422.jsonl
43,2026-06-29T23:16:38,C1,exit_1,,,,,,,,,,,,,,0,,,62.0,run0043_C1_20260629_231533.jsonl
44,2026-06-29T23:18:47,C2,exit_1,,,,,,,,,,,,,,0,,,122.0,run0044_C2_20260629_231643.jsonl
45,2026-06-29T23:20:57,C1,exit_1,,,,,,,,,,,,,,0,,,122.0,run0045_C1_20260629_231852.jsonl
46,2026-06-29T23:23:07,C2,exit_1,,,,,,,,,,,,,,0,,,122.0,run0046_C2_20260629_232102.jsonl
47,2026-06-29T23:25:17,C1,exit_1,,,,,,,,,,,,,,0,,,122.1,run0047_C1_20260629_232312.jsonl
48,2026-06-29T23:27:27,C2,exit_1,,,,,,,,,,,,,,0,,,122.0,run0048_C2_20260629_232522.jsonl
49,2026-06-29T23:29:37,C1,exit_1,,,,,,,,,,,,,,0,,,122.1,run0049_C1_20260629_232732.jsonl
50,2026-06-29T23:31:47,C2,exit_1,,,,,,,,,,,,,,0,,,122.0,run0050_C2_20260629_232942.jsonl
51,2026-06-29T23:32:57,C1,exit_1,,,,,,,,,,,,,,0,,,62.0,run0051_C1_20260629_233152.jsonl
52,2026-06-29T23:34:06,C2,exit_1,,,,,,,,,,,,,,0,,,62.0,run0052_C2_20260629_233302.jsonl
53,2026-06-29T23:36:16,C1,exit_1,,,,,,,,,,,,,,0,,,122.0,run0053_C1_20260629_233411.jsonl
54,2026-06-29T23:38:26,C2,exit_1,,,,,,,,,,,,,,0,,,122.0,run0054_C2_20260629_233621.jsonl
55,2026-06-29T23:39:35,C1,exit_1,,,,,,,,,,,,,,0,,,62.0,run0055_C1_20260629_233831.jsonl
56,2026-06-29T23:41:44,C2,exit_1,,,,,,,,,,,,,,0,,,122.0,run0056_C2_20260629_233940.jsonl
57,2026-06-29T23:42:54,C1,exit_1,,,,,,,,,,,,,,0,,,62.0,run0057_C1_20260629_234149.jsonl
58,2026-06-29T23:44:03,C2,exit_1,,,,,,,,,,,,,,0,,,62.0,run0058_C2_20260629_234259.jsonl
59,2026-06-29T23:46:13,C1,exit_1,,,,,,,,,,,,,,0,,,122.0,run0059_C1_20260629_234408.jsonl
60,2026-06-29T23:47:22,C2,exit_1,,,,,,,,,,,,,,0,,,62.0,run0060_C2_20260629_234618.jsonl
61,2026-06-29T23:49:32,C1,exit_1,,,,,,,,,,,,,,0,,,122.0,run0061_C1_20260629_234727.jsonl
62,2026-06-29T23:50:41,C2,exit_1,,,,,,,,,,,,,,0,,,62.0,run0062_C2_20260629_234937.jsonl
63,2026-06-29T23:51:51,C1,exit_1,,,,,,,,,,,,,,0,,,62.0,run0063_C1_20260629_235046.jsonl
64,2026-06-29T23:53:00,C2,exit_1,,,,,,,,,,,,,,0,,,62.0,run0064_C2_20260629_235156.jsonl
65,2026-06-29T23:54:09,C1,exit_1,,,,,,,,,,,,,,0,,,62.0,run0065_C1_20260629_235305.jsonl
66,2026-06-29T23:55:19,C2,exit_1,,,,,,,,,,,,,,0,,,62.0,run0066_C2_20260629_235414.jsonl
67,2026-06-29T23:56:28,C1,exit_1,,,,,,,,,,,,,,0,,,62.0,run0067_C1_20260629_235524.jsonl
68,2026-06-29T23:57:38,C2,exit_1,,,,,,,,,,,,,,0,,,62.0,run0068_C2_20260629_235633.jsonl
69,2026-06-29T23:59:47,C1,exit_1,,,,,,,,,,,,,,0,,,122.0,run0069_C1_20260629_235743.jsonl
70,2026-06-30T00:01:57,C2,exit_1,,,,,,,,,,,,,,0,,,122.0,run0070_C2_20260629_235952.jsonl
71,2026-06-30T00:04:06,C1,exit_1,,,,,,,,,,,,,,0,,,122.0,run0071_C1_20260630_000202.jsonl
72,2026-06-30T00:06:16,C2,exit_1,,,,,,,,,,,,,,0,,,122.0,run0072_C2_20260630_000411.jsonl
73,2026-06-30T00:07:25,C1,exit_1,,,,,,,,,,,,,,0,,,62.0,run0073_C1_20260630_000621.jsonl
74,2026-06-30T00:09:35,C2,exit_1,,,,,,,,,,,,,,0,,,122.0,run0074_C2_20260630_000730.jsonl
75,2026-06-30T00:10:45,C1,exit_1,,,,,,,,,,,,,,0,,,62.0,run0075_C1_20260630_000940.jsonl
76,2026-06-30T00:12:54,C2,exit_1,,,,,,,,,,,,,,0,,,122.0,run0076_C2_20260630_001050.jsonl
77,2026-06-30T00:14:04,C1,exit_1,,,,,,,,,,,,,,0,,,62.0,run0077_C1_20260630_001259.jsonl
78,2026-06-30T00:16:14,C2,exit_1,,,,,,,,,,,,,,0,,,122.0,run0078_C2_20260630_001409.jsonl
79,2026-06-30T00:18:23,C1,exit_1,,,,,,,,,,,,,,0,,,122.0,run0079_C1_20260630_001619.jsonl
80,2026-06-30T00:20:33,C2,exit_1,,,,,,,,,,,,,,0,,,122.0,run0080_C2_20260630_001828.jsonl
81,2026-06-30T00:22:43,C1,exit_1,,,,,,,,,,,,,,0,,,122.0,run0081_C1_20260630_002038.jsonl
82,2026-06-30T00:23:52,C2,exit_1,,,,,,,,,,,,,,0,,,62.0,run0082_C2_20260630_002248.jsonl
83,2026-06-30T00:25:01,C1,exit_1,,,,,,,,,,,,,,0,,,62.0,run0083_C1_20260630_002357.jsonl
84,2026-06-30T00:27:11,C2,exit_1,,,,,,,,,,,,,,0,,,122.0,run0084_C2_20260630_002506.jsonl
85,2026-06-30T00:29:20,C1,exit_1,,,,,,,,,,,,,,0,,,122.0,run0085_C1_20260630_002716.jsonl
86,2026-06-30T00:30:30,C2,exit_1,,,,,,,,,,,,,,0,,,62.0,run0086_C2_20260630_002925.jsonl
87,2026-06-30T00:32:40,C1,exit_1,,,,,,,,,,,,,,0,,,122.0,run0087_C1_20260630_003035.jsonl
88,2026-06-30T00:34:49,C2,exit_1,,,,,,,,,,,,,,0,,,122.0,run0088_C2_20260630_003245.jsonl
89,2026-06-30T00:36:59,C1,exit_1,,,,,,,,,,,,,,0,,,122.0,run0089_C1_20260630_003454.jsonl
90,2026-06-30T00:38:08,C2,exit_1,,,,,,,,,,,,,,0,,,62.0,run0090_C2_20260630_003704.jsonl
91,2026-06-30T00:40:18,C1,exit_1,,,,,,,,,,,,,,0,,,122.0,run0091_C1_20260630_003813.jsonl
92,2026-06-30T00:41:27,C2,exit_1,,,,,,,,,,,,,,0,,,62.0,run0092_C2_20260630_004023.jsonl
93,2026-06-30T00:42:37,C1,exit_1,,,,,,,,,,,,,,0,,,62.0,run0093_C1_20260630_004132.jsonl
94,2026-06-30T00:43:46,C2,exit_1,,,,,,,,,,,,,,0,,,62.0,run0094_C2_20260630_004242.jsonl
95,2026-06-30T00:45:56,C1,exit_1,,,,,,,,,,,,,,0,,,122.0,run0095_C1_20260630_004351.jsonl
96,2026-06-30T00:48:05,C2,exit_1,,,,,,,,,,,,,,0,,,122.0,run0096_C2_20260630_004601.jsonl
97,2026-06-30T00:49:15,C1,exit_1,,,,,,,,,,,,,,0,,,62.0,run0097_C1_20260630_004810.jsonl
98,2026-06-30T00:51:24,C2,exit_1,,,,,,,,,,,,,,0,,,122.0,run0098_C2_20260630_004920.jsonl
99,2026-06-30T00:52:34,C1,exit_1,,,,,,,,,,,,,,0,,,62.0,run0099_C1_20260630_005129.jsonl
100,2026-06-30T00:54:44,C2,exit_1,,,,,,,,,,,,,,0,,,122.0,run0100_C2_20260630_005239.jsonl
101,2026-06-30T00:56:53,C1,exit_1,,,,,,,,,,,,,,0,,,122.0,run0101_C1_20260630_005449.jsonl
102,2026-06-30T00:58:03,C2,exit_1,,,,,,,,,,,,,,0,,,62.0,run0102_C2_20260630_005658.jsonl
103,2026-06-30T01:00:12,C1,exit_1,,,,,,,,,,,,,,0,,,122.0,run0103_C1_20260630_005808.jsonl
104,2026-06-30T01:01:22,C2,exit_1,,,,,,,,,,,,,,0,,,62.0,run0104_C2_20260630_010017.jsonl
105,2026-06-30T01:02:31,C1,exit_1,,,,,,,,,,,,,,0,,,62.0,run0105_C1_20260630_010127.jsonl
106,2026-06-30T01:04:41,C2,exit_1,,,,,,,,,,,,,,0,,,122.0,run0106_C2_20260630_010236.jsonl
107,2026-06-30T01:05:50,C1,exit_1,,,,,,,,,,,,,,0,,,62.0,run0107_C1_20260630_010446.jsonl
108,2026-06-30T01:06:59,C2,exit_1,,,,,,,,,,,,,,0,,,62.0,run0108_C2_20260630_010555.jsonl
109,2026-06-30T01:08:09,C1,exit_1,,,,,,,,,,,,,,0,,,62.0,run0109_C1_20260630_010704.jsonl
110,2026-06-30T01:09:18,C2,exit_1,,,,,,,,,,,,,,0,,,62.0,run0110_C2_20260630_010814.jsonl
111,2026-06-30T01:10:28,C1,exit_1,,,,,,,,,,,,,,0,,,62.0,run0111_C1_20260630_010923.jsonl
112,2026-06-30T01:11:37,C2,exit_1,,,,,,,,,,,,,,0,,,62.0,run0112_C2_20260630_011033.jsonl
113,2026-06-30T01:12:47,C1,exit_1,,,,,,,,,,,,,,0,,,62.0,run0113_C1_20260630_011142.jsonl
114,2026-06-30T01:14:56,C2,exit_1,,,,,,,,,,,,,,0,,,122.0,run0114_C2_20260630_011252.jsonl
115,2026-06-30T01:16:06,C1,exit_1,,,,,,,,,,,,,,0,,,62.0,run0115_C1_20260630_011501.jsonl
116,2026-06-30T01:17:15,C2,exit_1,,,,,,,,,,,,,,0,,,62.0,run0116_C2_20260630_011611.jsonl
117,2026-06-30T01:19:25,C1,exit_1,,,,,,,,,,,,,,0,,,122.0,run0117_C1_20260630_011720.jsonl
118,2026-06-30T01:21:35,C2,exit_1,,,,,,,,,,,,,,0,,,122.0,run0118_C2_20260630_011930.jsonl
119,2026-06-30T01:22:44,C1,exit_1,,,,,,,,,,,,,,0,,,62.0,run0119_C1_20260630_012140.jsonl
